history_key,state,next_word
stairGBBGBsolidGGGGG,GGGGG,OKAY
stairGYBYB,N/A,smith
stairGYBYBsmithGGGGG,GGGGG,OKAY
stairGBBYY,N/A,shire
stairGBBYYshireGGGGG,GGGGG,OKAY
stairGYBYY,N/A,shirt
stairGYBYYshirtGGGGG,GGGGG,OKAY
stairGYBBY,N/A,short
stairGYBBYshortGGGGG,GGGGG,OKAY
stairGBYYB,N/A,sigma
stairGBYYBsigmaGGGGG,GGGGG,OKAY
stairGBBYG,N/A,skier
stairGBBYGskierGGGGG,GGGGG,OKAY
stairGBGGB,N/A,slain
stairGBGGBslainGGGGG,GGGGG,OKAY
stairGYGBY,N/A,smart
stairGYGBYsmartGGGGG,GGGGG,OKAY
stairGYBGB,N/A,split
stairGYBGBsplitGGGGG,GGGGG,OKAY
stairGGGBB,N/A,stake
stairGGGBBstakeGGGGG,GGGGG,OKAY
stairGGGGB,N/A,staid
stairGGGGBstaidGGGGG,GGGGG,OKAY
stairGGGBY,N/A,stare
stairGGGBYstareGGGGG,GGGGG,OKAY
stairGGYBB,N/A,stead
stairGGYBBsteadGGGGG,GGGGG,OKAY
stairGGBBB,N/A,canoe
stairGGBBG,N/A,steer
stairGGBBGsteerGGGGG,GGGGG,OKAY
stairGGBGB,N/A,stein
stairGGBGBsteinGGGGG,GGGGG,OKAY
stairGGBBY,N/A,stern
stairGGBBYsternGGGGG,GGGGG,OKAY
stairGGBYB,N/A,stink
stairGGBYBstinkGGGGG,GGGGG,OKAY
stairGGYBY,N/A,strap
stairGGYBYstrapGGGGG,GGGGG,OKAY
stairGGBGY,N/A,strip
stairGGBGYstripGGGGG,GGGGG,OKAY
stairGBGYB,N/A,swami
stairGBGYBswamiGGGGG,GGGGG,OKAY
stairBYYGG,N/A,tapir
stairBYYGGtapirGGGGG,GGGGG,OKAY
stairBYBGG,N/A,their
stairBYBGGtheirGGGGG,GGGGG,OKAY
stairBYGGY,N/A,trail
stairBYGGYtrailGGGGG,GGGGG,OKAY
stairBYYYY,N/A,triad
stairBYYYYtriadGGGGG,GGGGG,OKAY
stairYYYYB,N/A,vista
stairYYYYBvistaGGGGG,GGGGG,OKAY
stairBBGBBaleckGBBGG,N/A,aback
stairBBGBBaleckGBBGGabackGGGGG,GGGGG,OKAY
stairBBGBBaleckGBYBB,N/A,adage
stairBBGBBaleckGBYBBadageGGGGG,GGGGG,OKAY
stairBBGBBaleckGBYBY,N/A,awake
stairBBGBBaleckGBYBYawakeGGGGG,GGGGG,OKAY
stairBBGBBaleckYBYGB,N/A,beach
stairBBGBBaleckYBYGBbeachGGGGG,GGGGG,OKAY
stairBBGBBaleckYBYBB,N/A,heady
stairBBGBBaleckYBYBBheadyGGGGG,GGGGG,OKAY
stairBBGBBaleckYGBGG,N/A,black
stairBBGBBaleckYGBGGblackGGGGG,GGGGG,OKAY
stairBBGBBaleckYGYBB,N/A,blade
stairBBGBBaleckYGYBBbladeGGGGG,GGGGG,OKAY
stairBBGBBaleckYGBBB,N/A,bland
stairBBGBBaleckYGBBBblandGGGGG,GGGGG,OKAY
stairBBGBBaleckYGBBG,N/A,blank
stairBBGBBaleckYGBBGblankGGGGG,GGGGG,OKAY
stairBBGBBaleckYBYYB,N/A,chafe
stairBBGBBaleckYBYYBchafeGGGGG,GGGGG,OKAY
stairBBGBBaleckYBBYB,N/A,chaff
stairBBGBBaleckYBBYBchaffGGGGG,GGGGG,OKAY
stairBBGBBaleckYYBYG,N/A,chalk
stairBBGBBaleckYYBYGchalkGGGGG,GGGGG,OKAY
stairBBGBBaleckYGBYB,N/A,clamp
stairBBGBBaleckYGBYBclampGGGGG,GGGGG,OKAY
stairBBGBBaleckYGBYG,N/A,clank
stairBBGBBaleckYGBYGclankGGGGG,GGGGG,OKAY
stairBBGBBaleckYBBGB,N/A,coach
stairBBGBBaleckYBBGBcoachGGGGG,GGGGG,OKAY
stairBBGBBaleckYGYBY,N/A,flake
stairBBGBBaleckYGYBYflakeGGGGG,GGGGG,OKAY
stairBBGBBaleckYGBBY,N/A,flaky
stairBBGBBaleckYGBBYflakyGGGGG,GGGGG,OKAY
stairBBGBBaleckYBBBB,N/A,foamy
stairBBGBBaleckYBBBBfoamyGGGGG,GGGGG,OKAY
stairBBGBBaleckYBBGG,N/A,knack
stairBBGBBaleckYBBGGknackGGGGG,GGGGG,OKAY
stairBBGBBaleckYBYBY,N/A,knave
stairBBGBBaleckYBYBYknaveGGGGG,GGGGG,OKAY
stairBBGBBaleckYYBBY,N/A,koala
stairBBGBBaleckYYBBYkoalaGGGGG,GGGGG,OKAY
stairBBGBBaleckYYYGB,N/A,leach
stairBBGBBaleckYYYGBleachGGGGG,GGGGG,OKAY
stairBBGBBaleckYYYBB,N/A,leafy
stairBBGBBaleckYYYBBleafyGGGGG,GGGGG,OKAY
stairBBGBBaleckYYYBY,N/A,leaky
stairBBGBBaleckYYYBYleakyGGGGG,GGGGG,OKAY
stairBBGBBaleckYYBBB,N/A,loamy
stairBBGBBaleckYYBBBloamyGGGGG,GGGGG,OKAY
stairBBGBBaleckYGYGB,N/A,place
stairBBGBBaleckYGYGBplaceGGGGG,GGGGG,OKAY
stairYBGBBalecsGBYBY,N/A,abase
stairYBGBBalecsGBYBYabaseGGGGG,GGGGG,OKAY
stairYBGBBalecsGBBBG,N/A,amass
stairYBGBBalecsGBBBGamassGGGGG,GGGGG,OKAY
stairYBGBBalecsGBBBY,N/A,awash
stairYBGBBalecsGBBBYawashGGGGG,GGGGG,OKAY
stairYBGBBalecsYBYYY,N/A,cease
stairYBGBBalecsYBYYYceaseGGGGG,GGGGG,OKAY
stairYBGBBalecsYBBYG,N/A,chaos
stairYBGBBalecsYBBYGchaosGGGGG,GGGGG,OKAY
stairYBGBBalecsYBBYY,N/A,chasm
stairYBGBBalecsYBBYYchasmGGGGG,GGGGG,OKAY
stairYBGBBalecsYGBYY,N/A,clash
stairYBGBBalecsYGBYYclashGGGGG,GGGGG,OKAY
stairYBGBBalecsYGBYG,N/A,class
stairYBGBBalecsYGBYGclassGGGGG,GGGGG,OKAY
stairYBGBBalecsYGBBY,N/A,flash
stairYBGBBalecsYGBBYflashGGGGG,GGGGG,OKAY
stairYBGBBalecsYGBBG,N/A,glass
stairYBGBBalecsYGBBGglassGGGGG,GGGGG,OKAY
stairYBGBBalecsYBBBY,N/A,gnash
stairYBGBBalecsYBBBYgnashGGGGG,GGGGG,OKAY
stairYBGBBalecsYYYBY,N/A,lease
stairYBGBBalecsYYYBYleaseGGGGG,GGGGG,OKAY
stairYBGBBalecsYBYBY,N/A,phase
stairYBGBBalecsYBYBYphaseGGGGG,GGGGG,OKAY
stairYBGBBalecsYYBBY,N/A,psalm
stairYBGBBalecsYYBBYpsalmGGGGG,GGGGG,OKAY
