current_progress,state,next_word 
aesirBBYBBclootBBBBBkrunkBBGGG,BBGGG,spunk
aesirBBYBBclootBBBBBkrunkBBGGGspunkGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBBBkrunkYBGGG,YBGGG,skunk
aesirBBYBBclootBBBBBkrunkYBGGGskunkGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBBY,BBBBY,funky
aesirBBYBBclootBBBBYfunkyBYBBB,BYBBB,stump
aesirBBYBBclootBBBBYfunkyBYBBBstumpGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBBYfunkyBYBBG,BYBBG,study
aesirBBYBBclootBBBBYfunkyBYBBGstudyGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBBYfunkyBYYBB,BYYBB,stung
aesirBBYBBclootBBBBYfunkyBYYBBstungGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBBYfunkyBYYYB,BYYYB,stunk
aesirBBYBBclootBBBBYfunkyBYYYBstunkGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBBYfunkyYYBBB,YYBBB,stuff
aesirBBYBBclootBBBBYfunkyYYBBBstuffGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBBG,BBBBG,aahed
aesirBBYBBclootBBBBGaahedBBBBB,BBBBB,stunt
aesirBBYBBclootBBBBGaahedBBBBBstuntGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBBGaahedBBYBB,BBYBB,shunt
aesirBBYBBclootBBBBGaahedBBYBBshuntGGGGG,GGGGG,OKAY
aesirBBYBBclootBBBGB,BBBGB,synod
aesirBBYBBclootBBBGBsynodGGGGG,GGGGG,OKAY
aesirBBYBBclootBBYBB,BBYBB,aband
aesirBBYBBclootBBYBBabandBBBBB,BBBBB,soggy
aesirBBYBBclootBBYBBabandBBBBBsoggyGGGGG,GGGGG,OKAY
aesirBBYBBclootBBYBBabandBBBGG,BBBGG,sound
aesirBBYBBclootBBYBBabandBBBGGsoundGGGGG,GGGGG,OKAY
aesirBBYBBclootBBYBBabandBYBYB,BYBYB,bonus
aesirBBYBBclootBBYBBabandBYBYBbonusGGGGG,GGGGG,OKAY
aesirBBYBBclootBBYBY,BBYBY,south
aesirBBYBBclootBBYBYsouthGGGGG,GGGGG,OKAY
aesirBBYBBclootBBYBG,BBYBG,joust
aesirBBYBBclootBBYBGjoustGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBB,BBGBB,adhan
aesirBBYBBclootBBGBBadhanBBBBB,BBBBB,smoky
aesirBBYBBclootBBGBBadhanBBBBBsmokyGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBBadhanBBBBY,BBBBY,snowy
aesirBBYBBclootBBGBBadhanBBBBYsnowyGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBBadhanBBYBB,BBYBB,showy
aesirBBYBBclootBBGBBadhanBBYBBshowyGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBBadhanBBYBG,BBYBG,shown
aesirBBYBBclootBBGBBadhanBBYBGshownGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBY,BBGBY,abamp
aesirBBYBBclootBBGBYabampBBBBB,BBBBB,stony
aesirBBYBBclootBBGBYabampBBBBBstonyGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBYabampBBBGG,BBBGG,stomp
aesirBBYBBclootBBGBYabampBBBGGstompGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBG,BBGBG,phang
aesirBBYBBclootBBGBGphangBBBBB,BBBBB,stout
aesirBBYBBclootBBGBGphangBBBBBstoutGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBGphangBBBYB,BBBYB,snout
aesirBBYBBclootBBGBGphangBBBYBsnoutGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBGphangBGBBB,BGBBB,shout
aesirBBYBBclootBBGBGphangBGBBBshoutGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBGphangBGBBY,BGBBY,ghost
aesirBBYBBclootBBGBGphangBGBBYghostGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGBGphangYBBBB,YBBBB,spout
aesirBBYBBclootBBGBGphangYBBBBspoutGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGYY,BBGYY,aahed
aesirBBYBBclootBBGYYaahedBBBBB,BBBBB,sooty
aesirBBYBBclootBBGYYaahedBBBBBsootyGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGYYaahedBBYBB,BBYBB,sooth
aesirBBYBBclootBBGYYaahedBBYBBsoothGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGYG,BBGYG,boost
aesirBBYBBclootBBGYGboostGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGB,BBGGB,knosp
aesirBBYBBclootBBGGBknospBBGYY,BBGYY,spoof
aesirBBYBBclootBBGGBknospBBGYYspoofGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGBknospBBGYG,BBGYG,swoop
aesirBBYBBclootBBGGBknospBBGYGswoopGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGBknospBYGYB,BYGYB,swoon
aesirBBYBBclootBBGGBknospBYGYBswoonGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGBknospBYGYY,BYGYY,spoon
aesirBBYBBclootBBGGBknospBYGYYspoonGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGBknospBGGYG,BGGYG,snoop
aesirBBYBBclootBBGGBknospBGGYGsnoopGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGBknospYBGYB,YBGYB,shook
aesirBBYBBclootBBGGBknospYBGYBshookGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGBknospYBGYY,YBGYY,spook
aesirBBYBBclootBBGGBknospYBGYYspookGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGY,BBGGY,aahed
aesirBBYBBclootBBGGYaahedBBBBB,BBBBB,stoop
aesirBBYBBclootBBGGYaahedBBBBBstoopGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGYaahedBBBBG,BBBBG,stood
aesirBBYBBclootBBGGYaahedBBBBGstoodGGGGG,GGGGG,OKAY
aesirBBYBBclootBBGGG,BBGGG,shoot
aesirBBYBBclootBBGGGshootGGGGG,GGGGG,OKAY
aesirBBYBBclootBYBBB,BYBBB,alkyl
aesirBBYBBclootBYBBBalkylBYBBB,BYBBB,lupus
aesirBBYBBclootBYBBBalkylBYBBBlupusGGGGG,GGGGG,OKAY
aesirBBYBBclootBYBBBalkylBYBYB,BYBYB,shyly
aesirBBYBBclootBYBBBalkylBYBYBshylyGGGGG,GGGGG,OKAY
aesirBBYBBclootBYBBBalkylBYBYY,BYBYY,sully
aesirBBYBBclootBYBBBalkylBYBYYsullyGGGGG,GGGGG,OKAY
aesirBBYBBclootBYBBBalkylBYYBB,BYYBB,skulk
aesirBBYBBclootBYBBBalkylBYYBBskulkGGGGG,GGGGG,OKAY
aesirBBYBBclootBYBBBalkylBYYBG,BYYBG,skull
aesirBBYBBclootBYBBBalkylBYYBGskullGGGGG,GGGGG,OKAY
aesirBBYBBclootBYBBBalkylBYYYB,BYYYB,sulky
aesirBBYBBclootBYBBBalkylBYYYBsulkyGGGGG,GGGGG,OKAY
aesirBBYBBclootBYYBB,BYYBB,lousy
aesirBBYBBclootBYYBBlousyGGGGG,GGGGG,OKAY
aesirBBYBBclootBYGGB,BYGGB,spool
aesirBBYBBclootBYGGBspoolGGGGG,GGGGG,OKAY
aesirBBYBBclootBYGGY,BYGGY,stool
aesirBBYBBclootBYGGYstoolGGGGG,GGGGG,OKAY
aesirBBYBBclootBGBBB,BGBBB,bumph
aesirBBYBBclootBGBBBbumphBBBBB,BBBBB,slyly
aesirBBYBBclootBGBBBbumphBBBBBslylyGGGGG,GGGGG,OKAY
aesirBBYBBclootBGBBBbumphBYBBB,BYBBB,aargh
aesirBBYBBclootBGBBBbumphBYBBBaarghBBBBB,BBBBB,slunk
aesirBBYBBclootBGBBBbumphBYBBBaarghBBBBBslunkGGGGG,GGGGG,OKAY
aesirBBYBBclootBGBBBbumphBYBBBaarghBBBYB,BBBYB,slung
aesirBBYBBclootBGBBBbumphBYBBBaarghBBBYBslungGGGGG,GGGGG,OKAY
aesirBBYBBclootBGBBBbumphBYBBG,BYBBG,abaft
aesirBBYBBclootBGBBBbumphBYBBGabaftBBBBB,BBBBB,slush
aesirBBYBBclootBGBBBbumphBYBBGabaftBBBBBslushGGGGG,GGGGG,OKAY
aesirBBYBBclootBGBBBbumphBYBBGabaftBBBYB,BBBYB,flush
aesirBBYBBclootBGBBBbumphBYBBGabaftBBBYBflushGGGGG,GGGGG,OKAY
aesirBBYBBclootBGBBBbumphBYBYG,BYBYG,plush
aesirBBYBBclootBGBBBbumphBYBYGplushGGGGG,GGGGG,OKAY
aesirBBYBBclootBGBBBbumphBYYYB,BYYYB,slump
aesirBBYBBclootBGBBBbumphBYYYBslumpGGGGG,GGGGG,OKAY
aesirBBYBBclootBGBBBbumphGYBBG,GYBBG,blush
aesirBBYBBclootBGBBBbumphGYBBGblushGGGGG,GGGGG,OKAY
aesirBBYBBclootBGGBB,BGGBB,aargh
aesirBBYBBclootBGGBBaarghBBBBB,BBBBB,floss
aesirBBYBBclootBGGBBaarghBBBBBflossGGGGG,GGGGG,OKAY
aesirBBYBBclootBGGBBaarghBBBBG,BBBBG,slosh
aesirBBYBBclootBGGBBaarghBBBBGsloshGGGGG,GGGGG,OKAY
aesirBBYBBclootBGGBBaarghBBBYB,BBBYB,gloss
aesirBBYBBclootBGGBBaarghBBBYBglossGGGGG,GGGGG,OKAY
aesirBBYBBclootBGGBY,BGGBY,sloth
aesirBBYBBclootBGGBYslothGGGGG,GGGGG,OKAY
aesirBBYBBclootBGGGB,BGGGB,sloop
aesirBBYBBclootBGGGBsloopGGGGG,GGGGG,OKAY
aesirBBYBBclootYBBBB,YBBBB,abmho
aesirBBYBBclootYBBBBabmhoBBBBB,BBBBB,snuck
aesirBBYBBclootYBBBBabmhoBBBBBsnuckGGGGG,GGGGG,OKAY
aesirBBYBBclootYBBBBabmhoBBBYB,BBBYB,shuck
aesirBBYBBclootYBBBBabmhoBBBYBshuckGGGGG,GGGGG,OKAY
aesirBBYBBclootYBBBBabmhoBBYBB,BBYBB,mucus
aesirBBYBBclootYBBBBabmhoBBYBBmucusGGGGG,GGGGG,OKAY
aesirBBYBBclootYBBBY,YBBBY,stuck
aesirBBYBBclootYBBBYstuckGGGGG,GGGGG,OKAY
aesirBBYBBclootYBYBB,YBYBB,focus
aesirBBYBBclootYBYBBfocusGGGGG,GGGGG,OKAY
aesirBBYBBclootYBGBB,YBGBB,abmho
aesirBBYBBclootYBGBBabmhoBBBBY,BBBBY,scoff
aesirBBYBBclootYBGBBabmhoBBBBYscoffGGGGG,GGGGG,OKAY
aesirBBYBBclootYBGBBabmhoBBBYY,BBBYY,shock
aesirBBYBBclootYBGBBabmhoBBBYYshockGGGGG,GGGGG,OKAY
aesirBBYBBclootYBGBBabmhoBBYBY,BBYBY,smock
aesirBBYBBclootYBGBBabmhoBBYBYsmockGGGGG,GGGGG,OKAY
aesirBBYBBclootYBGBY,YBGBY,stock
aesirBBYBBclootYBGBYstockGGGGG,GGGGG,OKAY
aesirBBYBBclootYBGBG,YBGBG,scout
aesirBBYBBclootYBGBGscoutGGGGG,GGGGG,OKAY
aesirBBYBBclootYBGGB,YBGGB,scoop
aesirBBYBBclootYBGGBscoopGGGGG,GGGGG,OKAY
aesirBBYBBclootYYYBB,YYYBB,locus
aesirBBYBBclootYYYBBlocusGGGGG,GGGGG,OKAY
aesirBBYBBclootYYGBB,YYGBB,aahed
aesirBBYBBclootYYGBBaahedBBBBB,BBBBB,scowl
aesirBBYBBclootYYGBBaahedBBBBBscowlGGGGG,GGGGG,OKAY
aesirBBYBBclootYYGBBaahedBBBBG,BBBBG,scold
aesirBBYBBclootYYGBBaahedBBBBGscoldGGGGG,GGGGG,OKAY
aesirBBYBY,BBYBY,curst
aesirBBYBYcurstBBYYB,BBYYB,aahed
aesirBBYBYcurstBBYYBaahedBBBBB,BBBBB,sworn
aesirBBYBYcurstBBYYBaahedBBBBBswornGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYYBaahedBBBBG,BBBBG,sword
aesirBBYBYcurstBBYYBaahedBBBBGswordGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYYBaahedBBYBB,BBYBB,shorn
aesirBBYBYcurstBBYYBaahedBBYBBshornGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYYY,BBYYY,abysm
aesirBBYBYcurstBBYYYabysmBBBYB,BBBYB,stork
aesirBBYBYcurstBBYYYabysmBBBYBstorkGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYYYabysmBBBYG,BBBYG,storm
aesirBBYBYcurstBBYYYabysmBBBYGstormGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYYYabysmBBYYB,BBYYB,story
aesirBBYBYcurstBBYYYabysmBBYYBstoryGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYYG,BBYYG,adhan
aesirBBYBYcurstBBYYGadhanBBBBB,BBBBB,sport
aesirBBYBYcurstBBYYGadhanBBBBBsportGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYYGadhanBBBBY,BBBBY,snort
aesirBBYBYcurstBBYYGadhanBBBBYsnortGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYYGadhanBBYBB,BBYBB,short
aesirBBYBYcurstBBYYGadhanBBYBBshortGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYGB,BBYGB,aahed
aesirBBYBYcurstBBYGBaahedBBBBB,BBBBB,gross
aesirBBYBYcurstBBYGBaahedBBBBBgrossGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYGBaahedBBBBY,BBBBY,dross
aesirBBYBYcurstBBYGBaahedBBBBYdrossGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYGG,BBYGG,aboon
aesirBBYBYcurstBBYGGaboonBBBBB,BBBBB,tryst
aesirBBYBYcurstBBYGGaboonBBBBBtrystGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYGGaboonBBGBB,BBGBB,frost
aesirBBYBYcurstBBYGGaboonBBGBBfrostGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBYGGaboonBBGYB,BBGYB,roost
aesirBBYBYcurstBBYGGaboonBBGYBroostGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBGYB,BBGYB,sorry
aesirBBYBYcurstBBGYBsorryGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBGGY,BBGGY,torso
aesirBBYBYcurstBBGGYtorsoGGGGG,GGGGG,OKAY
aesirBBYBYcurstBBGGG,BBGGG,worst
aesirBBYBYcurstBBGGGworstGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYYYB,BYYYB,alaap
aesirBBYBYcurstBYYYBalaapBBBBY,BBBBY,spurn
aesirBBYBYcurstBYYYBalaapBBBBYspurnGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYYYBalaapBBBBG,BBBBG,usurp
aesirBBYBYcurstBYYYBalaapBBBBGusurpGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYYYBalaapBGBBG,BGBBG,slurp
aesirBBYBYcurstBYYYBalaapBGBBGslurpGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYYYG,BYYYG,spurt
aesirBBYBYcurstBYYYGspurtGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYYGB,BYYGB,brush
aesirBBYBYcurstBYYGBbrushGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYYGY,BYYGY,truss
aesirBBYBYcurstBYYGYtrussGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYYGG,BYYGG,trust
aesirBBYBYcurstBYYGGtrustGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYGYB,BYGYB,aargh
aesirBBYBYcurstBYGYBaarghBBGBB,BBGBB,syrup
aesirBBYBYcurstBYGYBaarghBBGBBsyrupGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYGYBaarghBBGBY,BBGBY,shrub
aesirBBYBYcurstBYGYBaarghBBGBYshrubGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYGYBaarghBBGYY,BBGYY,shrug
aesirBBYBYcurstBYGYBaarghBBGYYshrugGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYGYY,BYGYY,torus
aesirBBYBYcurstBYGYYtorusGGGGG,GGGGG,OKAY
aesirBBYBYcurstBYGYG,BYGYG,strut
aesirBBYBYcurstBYGYGstrutGGGGG,GGGGG,OKAY
aesirBBYBYcurstBGGYB,BGGYB,surly
aesirBBYBYcurstBGGYBsurlyGGGGG,GGGGG,OKAY
aesirBBYBYcurstBGGGG,BGGGG,burst
aesirBBYBYcurstBGGGGburstGGGGG,GGGGG,OKAY
aesirBBYBYcurstYBYYB,YBYYB,scorn
aesirBBYBYcurstYBYYBscornGGGGG,GGGGG,OKAY
aesirBBYBYcurstYYGYB,YYGYB,abaca
aesirBBYBYcurstYYGYBabacaBBBYB,BBBYB,scrum
aesirBBYBYcurstYYGYBabacaBBBYBscrumGGGGG,GGGGG,OKAY
aesirBBYBYcurstYYGYBabacaBYBYB,BYBYB,scrub
aesirBBYBYcurstYYGYBabacaBYBYBscrubGGGGG,GGGGG,OKAY
aesirBBYBYcurstGBYGB,GBYGB,cross
aesirBBYBYcurstGBYGBcrossGGGGG,GGGGG,OKAY
aesirBBYBYcurstGYYGB,GYYGB,crush
aesirBBYBYcurstGYYGBcrushGGGGG,GGGGG,OKAY
aesirBBYBYcurstGYYGG,GYYGG,crust
aesirBBYBYcurstGYYGGcrustGGGGG,GGGGG,OKAY
aesirBBYBG,BBYBG,scour
aesirBBYBGscourGGGGG,GGGGG,OKAY
aesirBBYYB,BBYYB,flint
aesirBBYYBflintBBYBB,BBYBB,aargh
aesirBBYYBflintBBYBBaarghBBBBB,BBBBB,kiosk
aesirBBYYBflintBBYBBaarghBBBBBkioskGGGGG,GGGGG,OKAY
aesirBBYYBflintBBYBBaarghBBBYB,BBBYB,gipsy
aesirBBYYBflintBBYBBaarghBBBYBgipsyGGGGG,GGGGG,OKAY
aesirBBYYBflintBBYBY,BBYBY,abash
aesirBBYYBflintBBYBYabashBBBYB,BBBYB,sixty
aesirBBYYBflintBBYBYabashBBBYBsixtyGGGGG,GGGGG,OKAY
aesirBBYYBflintBBYBYabashBBBYG,BBBYG,sixth
aesirBBYYBflintBBYBYabashBBBYGsixthGGGGG,GGGGG,OKAY
aesirBBYYBflintBBYBYabashBBBGB,BBBGB,tipsy
aesirBBYYBflintBBYBYabashBBBGBtipsyGGGGG,GGGGG,OKAY
aesirBBYYBflintBBYBG,BBYBG,aahed
aesirBBYYBflintBBYBGaahedBBBBY,BBBBY,midst
aesirBBYYBflintBBYBGaahedBBBBYmidstGGGGG,GGGGG,OKAY
aesirBBYYBflintBBYBGaahedBBYBB,BBYBB,sight
aesirBBYYBflintBBYBGaahedBBYBBsightGGGGG,GGGGG,OKAY
aesirBBYYBflintBBYYB,BBYYB,minus
aesirBBYYBflintBBYYBminusGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBB,BBGBB,amuck
aesirBBYYBflintBBGBBamuckBBBBB,BBBBB,swish
aesirBBYYBflintBBGBBamuckBBBBBswishGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBBamuckBBBBY,BBBBY,spiky
aesirBBYYBflintBBGBBamuckBBBBYspikyGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBBamuckBBBBG,BBBBG,whisk
aesirBBYYBflintBBGBBamuckBBBBGwhiskGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBBamuckBBBGB,BBBGB,spicy
aesirBBYYBflintBBGBBamuckBBBGBspicyGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBBamuckBYBBY,BYBBY,skimp
aesirBBYYBflintBBGBBamuckBYBBYskimpGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBY,BBGBY,aahed
aesirBBYYBflintBBGBYaahedBBBBB,BBBBB,stick
aesirBBYYBflintBBGBYaahedBBBBBstickGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBYaahedBBYBB,BBYBB,smith
aesirBBYYBflintBBGBYaahedBBYBBsmithGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBG,BBGBG,abmho
aesirBBYYBflintBBGBGabmhoBBBBB,BBBBB,twist
aesirBBYYBflintBBGBGabmhoBBBBBtwistGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBGabmhoBBBBY,BBBBY,joist
aesirBBYYBflintBBGBGabmhoBBBBYjoistGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBGabmhoBBBYY,BBBYY,hoist
aesirBBYYBflintBBGBGabmhoBBBYYhoistGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGBGabmhoBBYBY,BBYBY,moist
aesirBBYYBflintBBGBGabmhoBBYBYmoistGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGYB,BBGYB,abaca
aesirBBYYBflintBBGYBabacaBBBBB,BBBBB,noisy
aesirBBYYBflintBBGYBabacaBBBBBnoisyGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGYBabacaBBBYB,BBBYB,scion
aesirBBYYBflintBBGYBabacaBBBYBscionGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGGB,BBGGB,aught
aesirBBYYBflintBBGGBaughtBBBBB,BBBBB,spiny
aesirBBYYBflintBBGGBaughtBBBBBspinyGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGGBaughtBBBYB,BBBYB,shiny
aesirBBYYBflintBBGGBaughtBBBYBshinyGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGGBaughtBBYBB,BBYBB,swing
aesirBBYYBflintBBGGBaughtBBYBBswingGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGGBaughtBYYBB,BYYBB,using
aesirBBYYBflintBBGGBaughtBYYBBusingGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGGBaughtBGYBB,BGYBB,suing
aesirBBYYBflintBBGGBaughtBGYBBsuingGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGGY,BBGGY,aargh
aesirBBYYBflintBBGGYaarghBBBBB,BBBBB,stink
aesirBBYYBflintBBGGYaarghBBBBBstinkGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGGYaarghBBBYB,BBBYB,sting
aesirBBYYBflintBBGGYaarghBBBYBstingGGGGG,GGGGG,OKAY
aesirBBYYBflintBBGGG,BBGGG,stint
aesirBBYYBflintBBGGGstintGGGGG,GGGGG,OKAY
aesirBBYYBflintBYYBB,BYYBB,aback
aesirBBYYBflintBYYBBabackBBBBB,BBBBB,silly
aesirBBYYBflintBYYBBabackBBBBBsillyGGGGG,GGGGG,OKAY
aesirBBYYBflintBYYBBabackBBBBY,BBBBY,silky
aesirBBYYBflintBYYBBabackBBBBYsilkyGGGGG,GGGGG,OKAY
aesirBBYYBflintBYGBB,BYGBB,apeak
aesirBBYYBflintBYGBBapeakBBBBB,BBBBB,swill
aesirBBYYBflintBYGBBapeakBBBBBswillGGGGG,GGGGG,OKAY
aesirBBYYBflintBYGBBapeakBBBBY,BBBBY,skill
aesirBBYYBflintBYGBBapeakBBBBYskillGGGGG,GGGGG,OKAY
aesirBBYYBflintBYGBBapeakBGBBB,BGBBB,spill
aesirBBYYBflintBYGBBapeakBGBBBspillGGGGG,GGGGG,OKAY
aesirBBYYBflintBYGBY,BYGBY,still
aesirBBYYBflintBYGBYstillGGGGG,GGGGG,OKAY
aesirBBYYBflintBYGBG,BYGBG,abamp
aesirBBYYBflintBYGBGabampBBBBB,BBBBB,stilt
aesirBBYYBflintBYGBGabampBBBBBstiltGGGGG,GGGGG,OKAY
aesirBBYYBflintBYGBGabampBBBBY,BBBBY,spilt
aesirBBYYBflintBYGBGabampBBBBYspiltGGGGG,GGGGG,OKAY
aesirBBYYBflintBGGBB,BGGBB,abaca
aesirBBYYBflintBGGBBabacaBBBBB,BBBBB,slimy
aesirBBYYBflintBGGBBabacaBBBBBslimyGGGGG,GGGGG,OKAY
aesirBBYYBflintBGGBBabacaBBBGB,BBBGB,slick
aesirBBYYBflintBGGBBabacaBBBGBslickGGGGG,GGGGG,OKAY
aesirBBYYBflintBGGBBabacaBYBBB,BYBBB,bliss
aesirBBYYBflintBGGBBabacaBYBBBblissGGGGG,GGGGG,OKAY
aesirBBYYBflintBGGGB,BGGGB,aargh
aesirBBYYBflintBGGGBaarghBBBBB,BBBBB,slink
aesirBBYYBflintBGGGBaarghBBBBBslinkGGGGG,GGGGG,OKAY
aesirBBYYBflintBGGGBaarghBBBYB,BBBYB,sling
aesirBBYYBflintBGGGBaarghBBBYBslingGGGGG,GGGGG,OKAY
aesirBBYYBflintYBGBB,YBGBB,skiff
aesirBBYYBflintYBGBBskiffGGGGG,GGGGG,OKAY
aesirBBYYBflintYBGBY,YBGBY,stiff
aesirBBYYBflintYBGBYstiffGGGGG,GGGGG,OKAY
aesirBBYYBflintYBGBG,YBGBG,aahed
aesirBBYYBflintYBGBGaahedBBBBB,BBBBB,swift
aesirBBYYBflintYBGBGaahedBBBBBswiftGGGGG,GGGGG,OKAY
aesirBBYYBflintYBGBGaahedBBYBB,BBYBB,shift
aesirBBYYBflintYBGBGaahedBBYBBshiftGGGGG,GGGGG,OKAY
aesirBBYYBflintYBGYB,YBGYB,sniff
aesirBBYYBflintYBGYBsniffGGGGG,GGGGG,OKAY
aesirBBYYBflintGBYBB,GBYBB,ficus
aesirBBYYBflintGBYBBficusGGGGG,GGGGG,OKAY
aesirBBYYBflintGBGBG,GBGBG,foist
aesirBBYYBflintGBGBGfoistGGGGG,GGGGG,OKAY
aesirBBYYY,BBYYY,brick
aesirBBYYYbrickBYYBB,BYYBB,aarti
aesirBBYYYbrickBYYBBaartiBBGBY,BBGBY,virus
aesirBBYYYbrickBYYBBaartiBBGBYvirusGGGGG,GGGGG,OKAY
aesirBBYYYbrickBYYBBaartiBBGYY,BBGYY,first
aesirBBYYYbrickBYYBBaartiBBGYYfirstGGGGG,GGGGG,OKAY
aesirBBYYYbrickBYGBB,BYGBB,aahed
aesirBBYYYbrickBYGBBaahedBBBBB,BBBBB,swirl
aesirBBYYYbrickBYGBBaahedBBBBBswirlGGGGG,GGGGG,OKAY
aesirBBYYYbrickBYGBBaahedBBYBB,BBYBB,shirt
aesirBBYYYbrickBYGBBaahedBBYBBshirtGGGGG,GGGGG,OKAY
aesirBBYYYbrickBYGBY,BYGBY,skirt
aesirBBYYYbrickBYGBYskirtGGGGG,GGGGG,OKAY
aesirBBYYYbrickBYGBG,BYGBG,aahed
aesirBBYYYbrickBYGBGaahedBBBBB,BBBBB,smirk
aesirBBYYYbrickBYGBGaahedBBBBBsmirkGGGGG,GGGGG,OKAY
aesirBBYYYbrickBYGBGaahedBBYBB,BBYBB,shirk
aesirBBYYYbrickBYGBGaahedBBYBBshirkGGGGG,GGGGG,OKAY
aesirBBYYYbrickBGGBB,BGGBB,aarti
aesirBBYYYbrickBGGBBaartiBBYBY,BBYBY,prism
aesirBBYYYbrickBGGBBaartiBBYBYprismGGGGG,GGGGG,OKAY
aesirBBYYYbrickBGGBBaartiBBYYY,BBYYY,wrist
aesirBBYYYbrickBGGBBaartiBBYYYwristGGGGG,GGGGG,OKAY
aesirBBYYYbrickBGGBG,BGGBG,frisk
aesirBBYYYbrickBGGBGfriskGGGGG,GGGGG,OKAY
aesirBBYYYbrickBGGYB,BGGYB,crisp
aesirBBYYYbrickBGGYBcrispGGGGG,GGGGG,OKAY
aesirBBYYYbrickGGGBG,GGGBG,brisk
aesirBBYYYbrickGGGBGbriskGGGGG,GGGGG,OKAY
aesirBBYGB,BBYGB,ablet
aesirBBYGBabletBBBBB,BBBBB,sonic
